,Date,Tweets
12,2023-03-18,"🆙 Major Internet #outage ended: #VMWare in #Utah since 2:35 PM resolved after 5 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup https://t.co/1fbsC4hLZ4"
13,2023-03-18,RT @SemBarista: #SEO Power Tips: Four BEST Pro off-page optimization tips to leverage SEO capacity.  https://t.co/kH7ynRvEGQ #stackoverflow…
14,2023-03-18,"[New Blog Post] VMware NSX-T 3.x: Traffic Capture on Tier-0 Gateway Uplink #VMware #VirtualCloudNetwork #Cloud #VCN #NSXT #NSX #RunNSX #vCommunity #vExpert #vExpertNSX
https://t.co/XFmgEsTEJq"
15,2023-03-18,"RT @RenderHeads: RenderHeads back in Barcelona at #MWC23
#VMWare #GreenEnergy #InteractiveSoftware https://t.co/ALvMc59IWb"
16,2023-03-18,"RT @RenderHeads: RenderHeads back in Barcelona at #MWC23
#VMWare #GreenEnergy #InteractiveSoftware https://t.co/ALvMc59IWb"
17,2023-03-18,"RT @BillRuff_: . @FuturumResearch’s @DanielNewmanUV sits down w/ @VMware's VP &amp; CTO of Americas, @AmandaBlev for a conversation around what…"
18,2023-03-18,"🆗 Major Internet #outage ended: #VMWare in #Utah since 12:50 PM resolved after 15 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup https://t.co/xtVTy5C0WB"
19,2023-03-18,"⚡ Major Internet #outage detected: #VMWare in #Utah since 12:50 PM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet https://t.co/UJu9PUvled"
20,2023-03-18,"✅ Major Internet #outage ended: #VMWare in #Utah since 12:25 PM resolved after 5 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup #LateMorning https://t.co/FAOaHTbpG0"
21,2023-03-18,RT @vmwarensx: Are you ready to deploy and operationalize #Kubernetes? Join us for a half-day seminar in a city near you to learn how! Atte…
22,2023-03-18,"@Patrick1Kennedy @cibi_vishnu08 @ServeTheHome @nvidia @NVIDIANetworkng @VMware @VMwarevSphere @vmwarensx ""It's clear that @cibi_vishnu08 and @ServeTheHome are utilizing the latest #Nvidia and #VMware technologies to support their business needs. #NVIDIANetworkng #VMwarevSphere #VMwareNSX"""
23,2023-03-18,RT @daniel_liszka: What a great VMware Tanzu Application Catalog launch! Congrats #VMware @bitnami team! Learn more: https://t.co/AMzuwumZY…
24,2023-03-18,"With #VCF on #VxRail, #Dell and #VMware have delivered a turnkey cloud platform that delivers storage flexibility to meet you where you are in your cloud journey. Learn more in this new video https://t.co/U0XfD8gLU7 #iwork4dell"
25,2023-03-18,"✅ Major Internet #outage ended: #VMWare in #Utah since 11:10 AM resolved after 10 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup #LateMorning https://t.co/e8Nr88QbqF"
26,2023-03-18,"⚡ Major Internet #outage detected: #VMWare in #Utah since 11:10 AM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet #LateMorning https://t.co/MSDOB9vMBs"
27,2023-03-18,"i bought a new SERVER!! (VMware ESXi Setup and Install) #vmware #Coffee #esxi #esxi7 #hardware #Hypervisor #Linux #LinuxServer #NewServer #server #Shoes #Vessi #VirtualMachine #vsphere #Waterproof
https://t.co/eTzHGidR7C https://t.co/Sj3iUjKiNR"
28,2023-03-18,"🆗 Considerable Internet #outage ended: #VMWare in #Utah since 10:20 AM resolved after 10 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup https://t.co/4X0atlMVEF"
29,2023-03-18,"⚡ Considerable Internet #outage detected: #VMWare in #Utah since 10:20 AM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet https://t.co/NCInGQKXRH"
30,2023-03-18,"🆗 Major Internet #outage ended: #VMWare in #Utah since 9:50 AM resolved after 15 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup https://t.co/uV4EMd1fzo"
31,2023-03-18,"⚡ Major Internet #outage detected: #VMWare in #Utah since 9:50 AM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet https://t.co/XkzFiPpyUI"
32,2023-03-18,"How to Add Additional Hard Disk VM VMware vSphere
https://t.co/japyJ3uOol
#jamiltech #addadditionalharddisk #vmware https://t.co/ZTDrTstTVv"
33,2023-03-18,"How to Install VMware vCenter on Windows
https://t.co/jz1ALJvkYn
#jamiltech #vcenteronwindows #vmware https://t.co/aSHdB768d6"
34,2023-03-18,"#FuturumTechWebcast – video short: @FuturumResearch’s @DanielNewmanUV talks w/ @VMware's Paula Hodgins about how orgs’ cloud infrastructure choice drives the cost &amp; complexity of building, running &amp; operating their #infrastructure. https://t.co/26k4obuPwM

#VMWare #multicloud https://t.co/vAKV87txM6"
35,2023-03-18,"RT @tehkuhnz: Day 17 of #100DaysOfHomeLab 

Doing a happy dance 🎉

Blinky lights on 10gb switch ✅
Blinky lights on 10gb NIC ✅
Everything lo…"
36,2023-03-18,"Day 17 of #100DaysOfHomeLab 

Doing a happy dance 🎉

Blinky lights on 10gb switch ✅
Blinky lights on 10gb NIC ✅
Everything look good in #esxi 8 ✅

Looks like the USW aggregation, HP 560 sfp+, @Ubiquiti DACs and #vSphere 8 all play nice together 😎

#homelab #VMware #vExpert https://t.co/bBD53VAWZw"
37,2023-03-18,"Creating a Backup Repository in @Veeam Backup &amp; Replication v12 #Veeam #VeeamVanguard #VMware #vExpert #VBR #Repository #Synology #NAS | cc 
@vCommunityGuy @Synology @VeeamVanguard @vExpert 

https://t.co/Hx2dM5ftvd"
38,2023-03-18,"With #VCF on #VxRail, #Dell and #VMware have delivered a turnkey cloud platform that delivers storage flexibility to meet you where you are in your cloud journey. Learn more in this new video https://t.co/5zZU8uzyTZ #iwork4dell"
39,2023-03-18,"🆗 Considerable Internet #outage ended: #VMWare in #Utah since 8:40 AM resolved after 5 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup #EarlyMorning https://t.co/no8zV9O0NQ"
40,2023-03-18,"RT @TBKHomeworld: Listening to the morning address at Cloud City at #vmworld2019 #bcn 

 #rackspace #vmware #barcelona https://t.co/hL2Toxf…"
41,2023-03-18,RT @vmwarensx: Are you ready to deploy and operationalize #Kubernetes? Join us for a half-day seminar in a city near you to learn how! Atte…
42,2023-03-18,"#BDRSuite offers FREE #Backup for up to 10 #VMware VMs with features like near Continuous Data Protection, Instant recovery capabilities, and more. Download now! https://t.co/HWUEaWRDXs
 #vmwarebackup #VMbackup https://t.co/GVQsX0Eb4u"
43,2023-03-18,"RT @Haddad47338614: Let’s deep dive into app infrastructure modernization. On April 4, learn about how we  enable organizations to evolve t…"
44,2023-03-18,"Today they arrived!! Thanks a lot @VMware  for the 8 year cubes.
Still I don’t know the best place for them. I think behind the Time Machine looks best and the Intel Guy and Poky the Pac-Man ghost have a nice place to relax and have meaningful conversations :-)
#vmware #ctoa https://t.co/rA91DZTnej"
45,2023-03-18,@CloudBoundBoris @awakecoding @VMwarevSphere @VMUGAdv @awakecoding @VMwarevSphere @VMUGAdv Great resource! #VMware #vSphere is full of amazing features and even better documentation. #Virtualization
46,2023-03-18,"Let’s deep dive into app infrastructure modernization. On April 4, learn about how we  enable organizations to evolve their existing virtualization approach to include cloud-native technologies today!  https://t.co/0jaFWMY0oU #VMware #DellTech #iwork4dell https://t.co/zYaWsz2mpj"
47,2023-03-18,"RT @FrankDenneman: Discover what's new in vSphere 8.0 U1 and vSAN 8.0 U1 

https://t.co/ey88QOn0a7

#VMware #vSphere #vSAN https://t.co/U56…"
48,2023-03-18,You heard right: We’re offering the HPE #BackupAndRecovery Service free for 90 days! Take advantage of this free trial offer and see how easy it is to protect #VMware VMs across #HybridCloud in just a few simple steps. Start your free trial now! https://t.co/VS4EaNP1Cq https://t.co/2sYXcNW210
49,2023-03-18,You heard right: We’re offering the HPE #BackupAndRecovery Service free for 90 days! Take advantage of this free trial offer and see how easy it is to protect #VMware VMs across #HybridCloud in just a few simple steps. Start your free trial now! https://t.co/S65lutHJYr https://t.co/Pu9OhVpNWO
50,2023-03-18,How to install Debian Linux in VMware Workstation https://t.co/Qj0Mx88r2x #linux #vmware #debian #workstation #install
51,2023-03-18,"🆗 Considerable Internet #outage ended: #VMWare in #Utah since 3:55 AM resolved after 5 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup #night https://t.co/JWCFKXzrSv"
52,2023-03-18,RT @g0_euc: Measuring Input Latency in Virtual Desktops: Introduction and Baselines of the @nvidia #LDAT Research by @eltjovg  &amp; @Logitblog…
53,2023-03-18,RT @blackbuntuos: How to Install VMware on Ubuntu based distribution #VMware #Ubuntu https://t.co/12nr1gud38
54,2023-03-18,"RT @StevenBright: DISA has released the first STIGs for VMware vSphere 7.0. Check out the following link for more details:
https://t.co/wpN…"
55,2023-03-18,How to Install VMware on Ubuntu based distribution #VMware #Ubuntu https://t.co/12nr1gud38
56,2023-03-18,"🆙 Considerable Internet #outage ended: #VMWare in #Utah since 2:35 AM resolved after 10 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup #night https://t.co/RCa2AuTMN3"
57,2023-03-18,"⚡ Considerable Internet #outage detected: #VMWare in #Utah since 2:35 AM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet #night https://t.co/PFTi4EwJWI"
58,2023-03-18,What's New in vSphere 8 Update 1? - https://t.co/WkLMZX639F #VMware #CloudPlatform #ESXi8 #vCenterServer8 #vSphere #vSphere8
59,2023-03-18,"🆗 Considerable Internet #outage ended: #VMWare in #Utah since 1:55 AM resolved after 15 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup #night https://t.co/sTxfJOP3oM"
60,2023-03-18,"⚡ Considerable Internet #outage detected: #VMWare in #Utah since 1:55 AM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet #night https://t.co/IDgPrTIBBb"
61,2023-03-18,"🆙 Considerable Internet #outage ended: #VMWare in #Utah since 1:20 AM resolved after 10 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup #night https://t.co/LkQg1JAWOh"
62,2023-03-18,"⚡ Considerable Internet #outage detected: #VMWare in #Utah since 1:20 AM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet #night https://t.co/FcH41xETzI"
63,2023-03-18,"7 GitLab knowledge that made me ""whoa!""
https://t.co/6wJ2UNJ0rI
#AWS
#GCP
#Azure
#VMWare
#Linux
#Windows
#Git
#GitHub
#GitLab
#プログラミング
#dotnet Translated using #MicrosoftPowerAutomate"
64,2023-03-18,RT @SemBarista: #SEO Power Tips: Four BEST Pro off-page optimization tips to leverage SEO capacity.  https://t.co/kH7ynRvEGQ #stackoverflow…
65,2023-03-18,Introducing vSphere 8 Update 1. #VMware #vExpert #vSphere https://t.co/HJpxx320vC
66,2023-03-18,RT @g0_euc: Measuring Input Latency in Virtual Desktops: Introduction and Baselines of the @nvidia #LDAT Research by @eltjovg  &amp; @Logitblog…
67,2023-03-18,RT @g0_euc: Measuring Input Latency in Virtual Desktops: Introduction and Baselines of the @nvidia #LDAT Research by @eltjovg  &amp; @Logitblog…
68,2023-03-18,"With #VCF on #VxRail, #Dell and #VMware have delivered a turnkey cloud platform that delivers storage flexibility to meet you where you are in your cloud journey. Learn more in this new video https://t.co/vPToRVYXmu #iwork4dell"
69,2023-03-18,[Blog]  #VMware #vExpert 2023 https://t.co/FpDAa0dNiy https://t.co/yXKL50Ci3v
70,2023-03-18,"With #VCF on #VxRail, #Dell and #VMware have delivered a turnkey cloud platform that delivers storage flexibility to meet you where you are in your cloud journey. Learn more in this new video https://t.co/E6aeHvwM2P #iwork4dell"
71,2023-03-18,"With #VCF on #VxRail, #Dell and #VMware have delivered a turnkey cloud platform that delivers storage flexibility to meet you where you are in your cloud journey. Learn more in this new video https://t.co/xcRaeDol8J #iwork4dell"
72,2023-03-18,"“Great things in business are never done by one person; they’re done by a team of people.” – Steve Jobs

MIT ESP VMware Practice 🤝

#MITESP #awardwinning #team #vmware https://t.co/VcCMHZMKGp"
73,2023-03-18,"RT @opsmatters_uk: The latest update for #Tanzu includes ""Terraform, GitOps, Helm: Automation and package management with #VMware Tanzu Mis…"
74,2023-03-18,"The latest update for #Tanzu includes ""Terraform, GitOps, Helm: Automation and package management with #VMware Tanzu Mission Control"" and ""VMware Application Catalog Extends Support to Google Artifact Registry"".
 
#DevOps #CICD https://t.co/kqn46mtyyJ"
75,2023-03-18,"✅ Major Internet #outage ended: #VMWare in #Utah since 6:55 PM resolved after 15 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup #evenings https://t.co/kcGg5gTpLw"
76,2023-03-18,"⚡ Major Internet #outage detected: #VMWare in #Utah since 6:55 PM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet #evenings https://t.co/frJwlDU9mF"
77,2023-03-18,RT @SemBarista: #SEO Power Tips: Four BEST Pro off-page optimization tips to leverage SEO capacity.  https://t.co/kH7ynRvEGQ #stackoverflow…
78,2023-03-18,"RT @LANINFOTECH: With #Lenovo and #VMware, you can have powerful computing—everywhere. Give this video a quick watch to learn more about th…"
79,2023-03-18,RT @g0_euc: Measuring Input Latency in Virtual Desktops: Introduction and Baselines of the @nvidia #LDAT Research by @eltjovg  &amp; @Logitblog…
80,2023-03-17,Convert VMWare Disk from Thick to Thin Provisioned | https://t.co/aer7PaM0Rn | #ESXCLI #ESXi #Guide #VMWare https://t.co/dKnl2QB8lQ
81,2023-03-17,". @FuturumResearch’s @DanielNewmanUV sits down w/ @VMware's @AmandaBlev to discuss the key multi-cloud services required for enterprises &amp; organizations, moving forward, to be able to drive &amp; deliver #cloud smart #architecture. https://t.co/SiXvRAOg2C

#VMWare #multicloud https://t.co/LC54MDFPFQ"
82,2023-03-17,"On this #FuturumTechWebcast – video short, @FuturumResearch @DanielNewmanUV talks w/ @VMware's Paula Hodgins, about the benefits #VMware offers to customers who want to move to the public #cloud without rewriting their applications. https://t.co/AAgZCzDNLo 

#multicloud https://t.co/xtNAlte6ht"
83,2023-03-17,"🆗 Considerable Internet #outage ended: #VMWare in #Utah since 4:10 PM resolved after 10 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup https://t.co/i5SmxbhauG"
84,2023-03-17,"⚡ Considerable Internet #outage detected: #VMWare in #Utah since 4:10 PM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet https://t.co/6QTaSA5VXv"
85,2023-03-17,Resolving Windows Server 2022 Boot Failure after Update KB5022842 on vSphere ESXi 6.7 U2/U3 and 7.0.x #Windows #VMware #SecureBoot https://t.co/J1wG8Yj2x5
86,2023-03-17,". @FuturumResearch’s @DanielNewmanUV sits down w/ @VMware's VP &amp; CTO of Americas, @AmandaBlev for a conversation around what architecture is required to secure workloads across multiple environments. https://t.co/TGcDm9cPzy 

#VMWare #security #multicloud https://t.co/47o7ZaZ0r6"
87,2023-03-17,"RT @AppranixOne: Achieve Azure Well-architected Application Resilience! with Appranix. Watch the video here. https://t.co/5KklIOCGr7  

#AW…"
88,2023-03-17,"Achieve Azure Well-architected Application Resilience! with Appranix. Watch the video here. https://t.co/5KklIOCGr7  

#AWS #GCP #K8s #Vmware #Azure #DisasterRecovery #ITResilience #Dataprotection #CloudDR https://t.co/04jTIQbksG"
89,2023-03-17,"🆗 Considerable Internet #outage ended: #VMWare in #Utah since 3:20 PM resolved after 15 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup https://t.co/A83cYsEYUb"
90,2023-03-17,RT @Linux_Concept: How to install CentOS Linux in VMware Workstation https://t.co/LGpjTbfOyg  #vmware #virtualmachine #linux #centos #works…
91,2023-03-17,"⚡ Considerable Internet #outage detected: #VMWare in #Utah since 3:20 PM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet https://t.co/F5umv98kuG"
92,2023-03-17,"Alternatives to #Citrix, #Microsoft and #VMware for #remotework. #desktopvirtualization #VDI #DaaS  https://t.co/AmmgAbzku9 via @TTBusinessTech"
93,2023-03-17,RT @g0_euc: Measuring Input Latency in Virtual Desktops: Introduction and Baselines of the @nvidia #LDAT Research by @eltjovg  &amp; @Logitblog…
94,2023-03-17,"Cookie cutter audits can miss your distinct #security challenges. Customize your #informationtechnology assessment w/ us: https://t.co/QgY5x6gTFE

#vmware #o365 #firewalls #antivirus #malware #ransomware #mobiledevices #remoteworkers #networksecurity #iot #cybersecurity #privacy"
95,2023-03-17,"In this #FuturumTechWebcast – video short, @FuturumResearch @DanielNewmanUV talks w/ @VMware's Paula Hodgins, about the benefits #VMware offers to customers who want to move to the public #cloud without rewriting their applications. https://t.co/6P38UpMb5T 

#multicloud https://t.co/5lcM7Lrh2a"
96,2023-03-17,"""The Evolution of Cloud Computing: From Scalability to Sustainability"" is a must-read for tech enthusiasts! #cloudcomputing #sustainability #tech #digitaltransformation #AWS #MicrosoftAzure #GoogleCloud #IBMCloud #VMware #OpenStack #Kubernetes #DevOps https://t.co/XCAGl8jSud… https://t.co/W6JHhngudF"
97,2023-03-17,"VMware commissioned Forbes Insights to survey CIOs around the world &amp; dive deeper into their evolving roles &amp; new areas of focus. https://t.co/eYh0SRkMsZ @vCloudTech 

#multicloud #cloudservices #security #applications #technology #businessgrowth #cio #vmware #vcloudtech https://t.co/RKRxpNVi2s"
98,2023-03-17,"#DellTech, #VMware and #Computacenter: A successful partnership, stronger than ever. Which is why you will find us at #CCGKO2023 in Manchester today and tomorrow! We're looking forward to seizing the opportunities with our #TitaniumBlack partner in 2023! https://t.co/iHvhLTbted https://t.co/LVJBwdiX0D"
99,2023-03-17,"RT @archynet: Today’s #homelab goal was to move my #netscaler instances from #vmware to my SDX.
#citrix https://t.co/H9DMaHHkki"
100,2023-03-17,RT @g0_euc: Measuring Input Latency in Virtual Desktops: Introduction and Baselines of the @nvidia #LDAT Research by @eltjovg  &amp; @Logitblog…
101,2023-03-17,RT @g0_euc: Measuring Input Latency in Virtual Desktops: Introduction and Baselines of the @nvidia #LDAT Research by @eltjovg  &amp; @Logitblog…
102,2023-03-17,"🆗 Major Internet #outage ended: #VMWare in #Utah since 12:20 PM resolved after 15 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup #LateMorning https://t.co/5nMt6eOkvQ"
103,2023-03-17,RT @DCVMUG: How to add @VMwarevSphere Servers to @Veeam  Backup and Replication v12 | cc @vCommunityGuy @VeeamVanguard #VMware #vSphere #Ba…
104,2023-03-17,"RT @MarcusHueller: Nested VCF issue in homelab failed to migrate vmnics of host and how I solved it https://t.co/lBvxebM0p0
#VCF #VMware #S…"
105,2023-03-17,RT @g0_euc: Measuring Input Latency in Virtual Desktops: Introduction and Baselines of the @nvidia #LDAT Research by @eltjovg  &amp; @Logitblog…
106,2023-03-17,"Measuring Input Latency in Virtual Desktops: Introduction and Baselines of the @nvidia #LDAT Research by @eltjovg  &amp; @Logitblog 

#VMware #Citrix #Microsoft @LinusTech 

https://t.co/9D0Won8TeX"
107,2023-03-17,"⚡ Major Internet #outage detected: #VMWare in #Utah since 12:20 PM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet #LateMorning https://t.co/5gllnbc8CP"
108,2023-03-17,"In this #FuturumTechWebcast – video short, @FuturumResearch @DanielNewmanUV talks w/ @sumit_dhawan, President @VMware. They discuss how #VMware helps orgs assess their infrastructure needs &amp; prioritize their #digitaltransformation journey. https://t.co/gcmFsVMOs0

#multicloud https://t.co/MO1T7FLefA"
109,2023-03-17,RT @dumeirell: Learn how to use Aria Automation to document every change to you code enhancing your development process and versioning code…
110,2023-03-17,RT @DCVMUG: How to add @VMwarevSphere Servers to @Veeam  Backup and Replication v12 | cc @vCommunityGuy @VeeamVanguard #VMware #vSphere #Ba…
111,2023-03-17,"Nested VCF issue in homelab failed to migrate vmnics of host and how I solved it https://t.co/lBvxebM0p0
#VCF #VMware #SDDC @TinaKrogull @vExpert @vmexplorer @ThomasKopton @TSPapps @wojciehnet @cxi"
112,2023-03-17,"RT @StevenBright: DISA has released the first STIGs for VMware vSphere 7.0. Check out the following link for more details:
https://t.co/wpN…"
113,2023-03-17,"🆗 Major Internet #outage ended: #VMWare in #Utah since 10:45 AM resolved after 5 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup https://t.co/BeezMxtefJ"
114,2023-03-17,"RT @archynet: Today’s #homelab goal was to move my #netscaler instances from #vmware to my SDX.
#citrix https://t.co/H9DMaHHkki"
115,2023-03-17,"🆗 Major Internet #outage ended: #VMWare in #Utah since 10:25 AM resolved after 15 min, impacting #SaltLakeCity

🇺🇸 Get notifications with Fing Desktop
👉 https://t.co/DWSFIrxa1L

Retweet if resolved for you as well
#VMWaredown #VMWareoutage #VMWareup https://t.co/87j2GtNWcl"
116,2023-03-17,"Today’s #homelab goal was to move my #netscaler instances from #vmware to my SDX.
#citrix https://t.co/H9DMaHHkki"
117,2023-03-17,"⚡ Considerable Internet #outage detected: #VMWare in #Utah since 10:25 AM, impacting #SaltLakeCity

🇺🇸 Live map and analysis
👉 https://t.co/Hp8gjkKuZZ

Retweet if down for you too
#VMWaredown #VMWareoutage #nointernet https://t.co/Ojk7R0Wnh0"
118,2023-03-17,"RT @StevenBright: DISA has released the first STIGs for VMware vSphere 7.0. Check out the following link for more details:
https://t.co/wpN…"
119,2023-03-17,"RT @JonathanSIngram: Starting a new series called How To Build Your Own IT Home Lab. Check it out! https://t.co/BSpWLpD8cn 
#IT #VMware #Pr…"
120,2023-03-17,"RT @Rackspace: Ready to bridge the gap between your #datacenter and the #cloud? Rackspace #SDDC Solutions are changing the game, bringing t…"
121,2023-03-17,"Ready to bridge the gap between your #datacenter and the #cloud? Rackspace #SDDC Solutions are changing the game, bringing the best of #publiccloud to the #privatecloud! Learn more: https://t.co/kOt6YQdnjv #Data #VMware #CloudMigration https://t.co/Q0jwwQ3qG5"
122,2023-03-17,RT @DCVMUG: How to add @VMwarevSphere Servers to @Veeam  Backup and Replication v12 | cc @vCommunityGuy @VeeamVanguard #VMware #vSphere #Ba…
123,2023-03-17,"RT @StevenBright: DISA has released the first STIGs for VMware vSphere 7.0. Check out the following link for more details:
https://t.co/wpN…"
